Batter,Pitcher,PA,Inning,Result,Exit Velo,LA,Hit Dist.,Bat Speed,Pitch Velocity,xBA,HR / Park
J.P. Crawford,Matthew Boyd,36,5,Lineout,104.7,5,130,72.9,91.8,0.6,
Reese McGuire,George Kirby,37,5,Home Run,101.8,28,399,69,95.7,0.71,28/30
Ian Happ,George Kirby,38,5,Flyout,95,36,341,⚡75.8,85.9,0.11,0/30
Seiya Suzuki,George Kirby,40,5,Flyout,101.7,44,356,⚡77.0,85.6,0.07,0/30
Julio Rodríguez,Ryan Pressly,42,6,Groundout,105.3,8,152,71.2,93.4,0.67,
Cal Raleigh,Ryan Pressly,43,6,Flyout,93,41,324,⚡76.8,93.5,0.01,0/30
Randy Arozarena,Ryan Pressly,44,6,Double,104.8,19,342,72.7,92.9,0.56,0/30
Mitch Garver,Ryan Pressly,45,6,Home Run,105,41,414,⚡76.1,94.2,0.35,29/30
Luke Raley,Ryan Pressly,47,6,Double,109.8,13,246,73.8,88.6,0.82,
Dansby Swanson,Eduard Bazardo,49,6,Groundout,91.9,-2,32,72.3,81.8,0.37,
Michael Busch,Eduard Bazardo,50,6,Single,91.2,16,196,⚡75.5,81.8,0.92,
Nico Hoerner,Eduard Bazardo,51,6,Double Play,82,6,111,57.7,93.3,0.4,
Cole Young,Caleb Thielbar,52,7,Flyout,78.9,45,261,57.8,83.9,0.04,
Julio Rodríguez,Caleb Thielbar,54,7,Single,106.6,2,91,⚡78.2,94.9,0.55,
Cal Raleigh,Caleb Thielbar,55,7,Home Run,106.3,27,419,⚡81.3,94.2,0.97,30/30
Randy Arozarena,Caleb Thielbar,56,7,Double,74.4,31,258,61.1,76.4,0.43,
Matt Shaw,Carlos Vargas,58,7,Lineout,83,23,274,67.3,97,0.39,
Ian Happ,Carlos Vargas,60,7,Flyout,79.9,38,276,⚡80.0,93.2,0.03,
Kyle Tucker,Gabe Speier,61,7,Groundout,83.4,-11,16,69.5,94,0.09,
Donovan Solano,Ryan Brasier,62,8,Double,90.8,13,183,71.3,85.5,0.95,
Ben Williamson,Ryan Brasier,64,8,Lineout,93,17,283,70.9,85.6,0.69,
Cole Young,Ryan Brasier,65,8,Groundout,68.2,-36,3,⚡76.3,94.6,0.08,
Pete Crow-Armstrong,Matt Brash,67,8,Pop Out,71.6,87,63,69.7,88.1,0,
Dansby Swanson,Matt Brash,68,8,Groundout,47.9,-38,7,72.4,87.5,0.24,
Michael Busch,Matt Brash,69,8,Groundout,99.2,,48,⚡75.6,87.6,0.44,
J.P. Crawford,Génesis Cabrera,70,9,Flyout,76.8,54,221,70.9,94.7,0.06,
Cal Raleigh,Génesis Cabrera,72,9,Single,90.7,6,100,74.6,86.1,0.48,
Randy Arozarena,Génesis Cabrera,73,9,Single,112.2,4,90,⚡79.2,95.7,0.67,
Mitch Garver,Génesis Cabrera,74,9,Home Run,101.9,38,394,72,92.8,0.31,12/30
Donovan Solano,Génesis Cabrera,75,9,Single,90.1,13,178,71.3,85.6,0.92,
Luke Raley,Génesis Cabrera,76,9,Flyout,85.9,57,243,⚡75.9,97,0.03,
Nico Hoerner,Casey Legumina,77,9,Single,101.6,8,171,69.3,81.4,0.69,
Reese McGuire,Casey Legumina,79,9,GIDP,68.1,-8,15,52.4,87.3,0.05,
